Producto,Ancho,Gramaje,Reverso,Acabado,Nombre Original
"PAPEL RESPALDO","1,80","20","","","PAPEL RESPALDO 1,80 (20g)"
"PAPEL RESPALDO","1,80","40","","","PAPEL RESPALDO 1,80 (40g)"
"PAPEL RESPALDO","1,60","","","","PAPEL RESPALDO 1,60"
"PAPEL","1,83","52","","","PAPEL 1,83 M (1000 Mts) (52g)"
"PAPEL","1,83","29","","","PAPEL 1,83 M (1500 Mts) (29g)"
"PAPEL Br","1,83","","","","PAPEL 1,83 M (1000 Mts) Br"
"PAPEL","1,83","","","","PAPEL 1,83 M (300 Mts)"
"PAPEL","1,60","","","","PAPEL 1,60 M (100 Mts)"
"PAPEL","1,83","29","","","PAPEL 1,83 M (1000 Mts) (29g)"
"PAPEL","1,83","29","","","PAPEL 1,83 M (2000 Mts) (29g)"
"PAPEL SUBL 100m","914mm","90","","","PAPEL SUBL 100m 914mm 90gsm"
"PAPEL SUBL 100m","1118mm","90","","","PAPEL SUBL 100m 1118mm 90gsm"
"PAPEL SUBL 100m 117 0","1600mm","90","","","PAPEL SUBL 100m 1600mm 90gsm 117 0"
"FILM HOT","120X100","","","","FILM 120X100 HOT"
"film uv DTF Transparente","60cm","","","","film uv DTF Transparente 60cm"
"film uv DTF Transparente 0","30cm","","","","film uv DTF Transparente 30cm 0"
"DRY","1,80","","","","DRY 1,80"
"DRY","1,70","","","","DRY 1,70"
"ADIS","1,60","","","","ADIS 1,60"
"ADIS ELASTIZADO","1,80","","","","ADIS ELASTIZADO 1,80"
"BANDERA COMÚN","1,60","","","","BANDERA COMÚN 1,60"
"BANDERA COMÚN","3,20","","","","BANDERA COMÚN 3,20"
"BANDERA FINA","1,60","","","","BANDERA FINA 1,60"
"BANDERA MESH","1,60","","","","BANDERA MESH 1,60"
"DEPORTIVO","1,60","","","","DEPORTIVO 1,60"
"DRY LISO","1,80","","","","DRY LISO 1,80"
"DRY LISO","1,60","","","","DRY LISO 1,60"
"FORRO SATEN","1,60","","","","FORRO SATEN 1,60"
"HEXAGONAL","1,80","","","","HEXAGONAL 1,80"
"JACQUARD JACQUARD 1,80 MICROFIBRA 1,60 MICROPOLAR 1,60 MODAL 1,80","1,60","","","","JACQUARD 1,60 JACQUARD 1,80 MICROFIBRA 1,60 MICROPOLAR 1,60 MODAL 1,80"
"MYKONOS","1,60","","","","MYKONOS 1,60"
"MYKONOS","1,80","","","","MYKONOS 1,80"
