Familia,Producto Maestro,Nombre Variante PDF,Ancho,Gramaje,Reverso,Acabado,Color,Talle
"PAPELES","PAPEL RESPALDO","PAPEL RESPALDO","1,80","20","","","",""
"PAPELES","PAPEL RESPALDO","PAPEL RESPALDO","1,80","40","","","",""
"PAPELES","PAPEL RESPALDO","PAPEL RESPALDO","1,60","","","","",""
"PAPELES","PAPEL","PAPEL","1,83","52","","","MAGENTA",""
"PAPELES","PAPEL","PAPEL","1,83","29","","","MAGENTA",""
"PAPELES","PAPEL Br","PAPEL Br","1,83","","","","MAGENTA",""
"PAPELES","PAPEL","PAPEL","1,83","","","","MAGENTA",""
"PAPELES","PAPEL","PAPEL","1,60","","","","MAGENTA",""
"PAPELES","PAPEL SUBL","PAPEL SUBL","914mm","90","","","",""
"PAPELES","PAPEL SUBL","PAPEL SUBL","1118mm","90","","","",""
"PAPELES","PAPEL SUBL","PAPEL SUBL","1600mm","90","","","",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","CIAN",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","YELLOW",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","BLACK",""
"TINTAS","liquido de limpieza sublimacion","liquido de limpieza sublimacion","","","","","",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","BLANCO",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","CIAN",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","MAGENTA",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","YELLOW",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","BLACK",""
"TINTAS","Liquido de Limpieza DTF","Liquido de Limpieza DTF","","","","","",""
"TINTAS","Liquido de Limpieza DTF Fuerte","Liquido de Limpieza DTF Fuerte","","","","","",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","BLANCO",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","CIAN",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","MAGENTA",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","YELLOW",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","BLACK",""
"TINTAS","Liquido Limpieza DTF UV","Liquido Limpieza DTF UV","","","","","",""
"TINTAS","BARNIZ","BARNIZ","","","","","",""
"TINTAS","TINTA UV","TINTA UV","","","","","CIAN",""
"TINTAS","TINTA UV","TINTA UV","","","","","MAGENTA",""
"TINTAS","TINTA UV","TINTA UV","","","","","YELLOW",""
"TINTAS","TINTA UV","TINTA UV","","","","","BLACK",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","CIAN",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","MAGENTA",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","YELLOW",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","BLACK",""
"TINTAS","Liquido Limpieza ECO SOLVENTE","Liquido Limpieza ECO SOLVENTE","","","","","",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","CIAN",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","YELLOW",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","BLACK",""
"TINTAS","TINTA SUBLI FLUORESCENTE","TINTA SUBLI FLUORESCENTE","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI FLUORESCENTE","TINTA SUBLI FLUORESCENTE","","","","","YELLOW",""
"TINTAS","TINTA DTF FLUORESCENTE","TINTA DTF FLUORESCENTE","","","","","MAGENTA",""
"TINTAS","TINTA DTF FLUORESCENTE","TINTA DTF FLUORESCENTE","","","","","YELLOW",""
"TINTAS","TINTA DTF FLUORESCENTE O","TINTA DTF FLUORESCENTE O","","","","","",""
"TINTAS","TINTA DTF FLUORESCENTE","TINTA DTF FLUORESCENTE","","","","","",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","CIAN",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","MAGENTA",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","YELLOW",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","BLACK",""
"TINTAS","TINTA ECO","TINTA ECO","","","","","CIAN",""
"TINTAS","TINTA ECO","TINTA ECO","","","","","MAGENTA",""
"TINTAS","TINTA ECO","TINTA ECO","","","","","YELLOW",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT BARNIZ","TINTA UV TEXTIL SUPER SOFT BARNIZ","","","","","",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","CIAN",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","MAGENTA",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","YELLOW",""
