Familia,Producto Maestro (Nombre),Unidad de Medida,Ejemplo Item Completo
"PAPELES","PAPEL RESPALDO","mts", "PAPEL RESPALDO 1,80 (20g)"
"PAPELES","PAPEL","mts", "PAPEL 1,83 M (1000 Mts) (52g)"
"PAPELES","PAPEL SUBL","mts", "PAPEL SUBL 100m 914mm 90gsm"
"TINTAS","TINTA SUBLI AD","lts", "TINTA SUBLI AD C"
"TINTAS","liquido de limpieza sublimacion","lts", "liquido de limpieza sublimacion"
"TINTAS","TINTA DTF","lts", "TINTA DTF BLANCA"
"TINTAS","Liquido de Limpieza DTF","lts", "Liquido de Limpieza DTF"
"TINTAS","Liquido de Limpieza DTF Fuerte","lts", "Liquido de Limpieza DTF Fuerte"
"TINTAS","TINTA DTF UV","lts", "TINTA DTF UV BLANCA"
"TINTAS","Liquido Limpieza DTF UV","lts", "Liquido Limpieza DTF UV"
"TINTAS","BARNIZ","lts", "BARNIZ"
"TINTAS","TINTA F- UV","lts", "TINTA F- UV C"
"TINTAS","TINTA ECO S","lts", "TINTA ECO S C"
"TINTAS","Liquido Limpieza ECO SOLVENTE","lts", "Liquido Limpieza ECO SOLVENTE"
"TINTAS","TINTA SUBLI Directa","lts", "TINTA SUBLI C Directa"
"TINTAS","TINTA SUBLI FLUORESCENTE","lts", "TINTA  SUBLI FLUORESCENTE M"
"TINTAS","TINTA DTF FLUORESCENTE","lts", "TINTA DTF FLUORESCENTE M"
"TINTAS","TINTA DTF FLUORESCENTE O","lts", "TINTA DTF FLUORESCENTE O"
"TINTAS","TINTA DTF FLUORESCENTE G","lts", "TINTA DTF FLUORESCENTE G"
"TINTAS","MIMAKI TINTA","lts", "MIMAKI TINTA  C"
"TINTAS","ECO TINTA","lts", "ECO T C"
"TINTAS","TINTA UV -TEXTIL-SUPER SOFT BARNIZ","lts", "TINTA UV -TEXTIL-SUPER SOFT BARNIZ"
"TINTAS","TINTA UV -TEXTIL-SUPER SOFT","lts", "TINTA UV -TEXTIL-SUPER SOFTINTA CYAN"
"TINTAS","Liquido Pre Tratamiento","lts", "Liquido Pre Tratamiento"
"TINTAS","Liquido de limpieza de impresion directa","lts", "Liquido de limpieza de impresion directa"
"TINTAS","TINTA SUBLI AD PRUEBA","lts", "TINTA SUBLI AD C PRUEBA"
"PET","FILM COMUN","lts", "FILM COMUN"
"PET","FILM HOT","lts", "FILM HOT X2"
"PET","FILM","lts", "FILM 120X100 HOT"
"PET","FILM LUMINISCENTE","lts", "FILM LUMINISCENTE"
"PET","FILM PLATEADO","lts", "FILM PLATEADO"
"PET","FILM DORADO","lts", "FILM DORADO"
"PET","FILM GLITTER","lts", "FILM GLITTER"
"PET","FILM TORNASOLADO","lts", "FILM TORNASOLADO"
"PET","FILM CAMALEON","lts", "FILM CAMALEON"
"PET","FILM REFLECTIVO","lts", "FILM REFLECTIVO"
"PET","FILM UV","lts", "FILM UV"
"PET","FILM COMUN FRIO","lts", "FILM COMUN FRIO X4 (30CMX100CM)"
"PET","Film uv DTF Blanco","lts", "Film uv DTF Blanco (60CMX100CM)"
"PET","film uv DTF Transparente","lts", "film uv DTF Transparente 60cm"
"POLIAMIDA","POLIAMIDA BLANCA","kg", "POLIAMIDA BLANCA"
"POLIAMIDA","POLIAMIDA BLANCA ESPECIAL","kg", "POLIAMIDA BLANCA ESPECIAL"
"POLIAMIDA","POLIAMIDA NEGRA","kg", "POLIAMIDA NEGRA 0"
"TELAS","DRY","kg", "DRY 1,80"
"TELAS","ADIS","kg", "ADIS 1,60"
"TELAS","ADIS ELASTIZADO","kg", "ADIS ELASTIZADO 1,80"
"TELAS","BANDERA COMÚN","kg", "BANDERA COMÚN 1,60"
"TELAS","BANDERA FINA","kg", "BANDERA FINA 1,60"
"TELAS","BANDERA MESH","kg", "BANDERA MESH 1,60"
"TELAS","DEPORTIVO","kg", "DEPORTIVO 1,60"
"TELAS","DRY LISO","kg", "DRY LISO 1,80"
"TELAS","DRY POROSO","kg", "DRY POROSO"
"TELAS","FORRO SATEN","kg", "FORRO SATEN 1,60"
"TELAS","HEXAGONAL","kg", "HEXAGONAL 1,80"
"TELAS","JACQUARD","kg", "JACQUARD 1,60 JACQUARD 1,80 MICROFIBRA 1,60 MICROPOLAR 1,60 MODAL 1,80"
